epoch,train_total,train_reconstruction,train_kl,val_normal_total,val_normal_reconstruction,val_normal_kl
1,1.0388702203959772,1.0388532481679094,0.01697496091825377,0.8258633397184313,0.8258497714996338,0.013568218797445297
2,0.9346347250452863,0.9345675850039051,0.06713986610774894,0.9025217790864408,0.9024857878684998,0.03599121794104576
3,0.7980695850855377,0.7978082819022335,0.26130279104952403,0.9349689378514886,0.9348961114883423,0.07282636314630508
4,0.6904480550681331,0.6898673676323953,0.5806893192756892,0.823119885250926,0.8230329155921936,0.08696965873241425
5,0.6116983686663775,0.6108424875194659,0.8558818459822055,0.7706177208423615,0.7704680562019348,0.14966464042663574
6,0.577153947116812,0.5759945491586591,1.1593982995957057,0.7380031208097935,0.7377625107765198,0.2406100332736969
7,0.554395177968177,0.5529160309709394,1.4791459722867522,0.7149515211880207,0.7146105170249939,0.3410041630268097
8,0.5356715198596526,0.5339235764570709,1.7479394465762703,0.6938313618600368,0.6933746933937073,0.4566684663295746
9,0.519866023689275,0.517836642405383,2.029384016056907,0.6805835305452347,0.6800170540809631,0.5664764642715454
10,0.5004643814993278,0.498143111912451,2.321269118754733,0.6620643445849419,0.661435604095459,0.6287404894828796
11,0.4663868079608788,0.4638343082239983,2.55250218954161,0.630667253434658,0.6298969388008118,0.770314633846283
12,0.4158720715705782,0.4128193737010109,3.0527013319279446,0.5770682506561279,0.5761055946350098,0.9626560211181641
13,0.37315777457725285,0.36975560066905405,3.4021752658774274,0.5330037442445755,0.5318056344985962,1.198109745979309
14,0.34745169215040483,0.34383802252089696,3.6136693767716928,0.5084586738348007,0.5070523023605347,1.4063714742660522
15,0.33028572198616307,0.3265492239913492,3.73649943217285,0.48700737261772153,0.4854235053062439,1.5838673114776611
16,0.3162804296527145,0.31230022157141185,3.980207210421251,0.4567474535703659,0.4550236165523529,1.7238370180130005
17,0.293554447338413,0.28943186305832924,4.122583708003669,0.4176721225976944,0.4157624840736389,1.909638524055481
18,0.2652174856114948,0.26075144956379587,4.466035415858575,0.3593619019985199,0.35719233751296997,2.1695644855499268
19,0.23279552126677788,0.2279454536599839,4.850068576653383,0.3040323119163513,0.3014911711215973,2.5411407947540283
20,0.2026745684775609,0.19765542953350526,5.019139440501639,0.25098923325538636,0.2481277883052826,2.8614449501037598
21,0.17266649435767928,0.16740531347906,5.261179631434906,0.21081781935691835,0.20768138766288757,3.1364316940307617
22,0.15295044192679558,0.1474123223448858,5.538120396765965,0.1691448528766632,0.16576534509658813,3.3795077800750732
