timestamp,session_id,user_id,username,role,activity,status,ip_address,device,duration_ms,object_count,risk_level,anomaly_type
2025-01-01 03:22:26,S7BA6BF6F6BA7AFDC,61,novri_ade_pratama,User,Login,Berhasil,192.168.1.99,Android,1726,1,Low,login_luar_jam
2025-01-01 05:07:06,S3946AD23C098E2B4,76,amysyilfiani,User,Login,Berhasil,192.168.1.139,iPhone,1100,1,Low,login_luar_jam
2025-01-01 07:00:30,S3F578008B2F1E6E3,1,admin,Admin,Login,Gagal,192.168.1.8,Windows,1418,1,Normal,Normal
2025-01-01 07:02:05,S3F578008B2F1E6E3,1,admin,Admin,Dashboard,Berhasil,192.168.1.8,Windows,4791,4,Normal,Normal
2025-01-01 07:03:04,S3F578008B2F1E6E3,1,admin,Admin,Kelola User,Berhasil,192.168.1.8,Windows,3625,3,Normal,Normal
2025-01-01 07:05:10,S3F578008B2F1E6E3,1,admin,Admin,Kelola Kode Klasifikasi,Berhasil,192.168.1.8,Windows,1837,4,Normal,Normal
2025-01-01 07:07:37,S3F578008B2F1E6E3,1,admin,Admin,Logout,Berhasil,192.168.1.8,Windows,220,1,Normal,Normal
2025-01-01 07:10:06,S3946AD23C098E2B4,76,amysyilfiani,User,Lihat Perkara,Berhasil,192.168.1.139,iPhone,1012,1,Normal,Normal
2025-01-01 07:12:27,S3946AD23C098E2B4,76,amysyilfiani,User,Cari Berkas,Berhasil,192.168.1.139,iPhone,1456,7,Normal,Normal
2025-01-01 07:14:28,S3946AD23C098E2B4,76,amysyilfiani,User,Logout,Berhasil,192.168.1.139,iPhone,1231,1,Normal,Normal
2025-01-01 08:24:35,SA7308128D32AB0F6,21,kasidatunsawahlunto,User,Login,Berhasil,192.168.1.9,Windows,524,1,Normal,Normal
2025-01-01 08:25:12,SA7308128D32AB0F6,21,kasidatunsawahlunto,User,Lihat Perkara,Berhasil,192.168.1.9,Windows,3326,9,Normal,Normal
2025-01-01 08:26:46,SA7308128D32AB0F6,21,kasidatunsawahlunto,User,Cari Berkas,Berhasil,192.168.1.9,Windows,5761,1,Normal,Normal
2025-01-01 08:28:10,SA7308128D32AB0F6,21,kasidatunsawahlunto,User,Logout,Berhasil,192.168.1.9,Windows,1307,1,Normal,Normal
2025-01-01 10:38:08,S541D013617D8EA64,80,gilangpratama,User,Login,Berhasil,192.168.1.58,PC Windows,411,1,Normal,Normal
2025-01-01 10:40:12,S541D013617D8EA64,80,gilangpratama,User,Lihat Perkara,Berhasil,192.168.1.58,PC Windows,3877,5,Normal,Normal
