type,feature,raw_normal_median,raw_anomaly_median,canonical_normal_median,canonical_anomaly_median,scaled_normal_median,scaled_anomaly_median,mean_reconstruction_error_contribution
mass_archive_access,user_id,50.0,50.0,50.0,50.0,0.04213186725974083,0.04213186725974083,0.006081343162804842
mass_archive_access,activity,Logout,Akses Berkas,Logout,Akses Berkas,0.13268007338047028,-1.403773307800293,0.027506694197654724
mass_archive_access,status,Berhasil,Berhasil,Berhasil,Berhasil,-0.16695134341716766,-0.16695134341716766,0.0020807795226573944
mass_archive_access,device,PC Windows,PC Windows,PC Windows,PC Windows,-0.15972958505153656,-0.15972958505153656,0.0104755237698555
mass_archive_access,ip_address,Private Network 192.168.x.x,Private Network 192.168.x.x,Private Network 192.168.x.x,Private Network 192.168.x.x,0.15611012279987335,0.15611012279987335,0.0006075550336390734
mass_archive_access,duration_ms,1513.0,6049.699999999999,7.322510433997394,8.70792924681121,0.06324730068445206,1.049432396888733,0.008001171052455902
mass_archive_access,object_count,1.0,10.0,0.6931471805599453,2.3978952727983707,-0.8474186658859253,1.7794967889785767,0.024451948702335358
mass_archive_access,hour,19.0,19.0,19.0,19.0,0.21325252950191498,0.21325252950191498,0.018968982622027397
mass_archive_access,day_of_week,3.0,3.0,3.0,3.0,-0.015122117474675179,-0.015122117474675179,0.005587033461779356
offhours_privileged_access,user_id,50.0,52.0,50.0,52.0,0.04213186725974083,0.13103726506233215,0.020721523091197014
offhours_privileged_access,activity,Logout,Kelola User,Logout,Kelola User,0.13268007338047028,0.13268007338047028,0.03721361607313156
offhours_privileged_access,status,Berhasil,Berhasil,Berhasil,Berhasil,-0.16695134341716766,-0.16695134341716766,0.02262394316494465
offhours_privileged_access,device,PC Windows,PC Windows,PC Windows,PC Windows,-0.15972958505153656,-0.15972958505153656,0.03082486428320408
offhours_privileged_access,ip_address,Private Network 192.168.x.x,Private Network 192.168.x.x,Private Network 192.168.x.x,Private Network 192.168.x.x,0.15611012279987335,0.15611012279987335,0.003076766384765506
offhours_privileged_access,duration_ms,1513.0,1495.0,7.322510433997394,7.310548147820894,0.06324730068445206,0.05473216623067856,0.056204814463853836
offhours_privileged_access,object_count,1.0,1.0,0.6931471805599453,0.6931471805599453,-0.8474186658859253,-0.8474186658859253,0.041103847324848175
offhours_privileged_access,hour,19.0,2.0,19.0,2.0,0.21325252950191498,-4.775719165802002,0.3927331566810608
offhours_privileged_access,day_of_week,3.0,3.0,3.0,3.0,-0.015122117474675179,-0.015122117474675179,0.019284246489405632
