anomaly_type,reason,primary_frequency,secondary_frequency
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
mass_archive_access,secondary_archive_joint_not_rare,,
