Dataset_Index,Anomaly_Type,Hour,IP_Address,Device,Duration_ms,Object_Count,Reconstruction_MSE,Perturbation_L2
11683,ANOMALY,9,Private Network 192.168.x.x,PC Windows,6.980075940561763,0.6931471805599453,0.0014988994225859642,3.07930064201355
12791,ANOMALY,20,Private Network 192.168.x.x,PC Windows,7.698936199813447,0.6931471805599453,0.0015787698794156313,1.6253423690795898
13013,ANOMALY,21,Private Network 192.168.x.x,PC Windows,7.730174795246222,0.6931471805599453,0.0017057531513273716,2.246173858642578
4629,ANOMALY,10,Private Network 192.168.x.x,PC Windows,7.038783541388542,0.6931471805599453,0.0018598181195557117,3.015871524810791
3413,ANOMALY,13,Private Network 192.168.x.x,PC Windows,6.889591308354466,0.6931471805599453,0.0019258774118497968,2.5651907920837402
10194,ANOMALY,17,Private Network 192.168.x.x,PC Windows,7.877017895622398,0.6931471805599453,0.0021727813873440027,1.949615478515625
5148,ANOMALY,19,Private Network 192.168.x.x,Android,7.591357046698551,0.6931471805599453,0.002196892164647579,2.908689022064209
13770,ANOMALY,13,Private Network 192.168.x.x,PC Windows,6.551080335043404,0.6931471805599453,0.0022238718811422586,2.576300621032715
1396,ANOMALY,18,Private Network 192.168.x.x,PC Windows,7.576097340623111,0.6931471805599453,0.0022622947581112385,1.970184326171875
2272,ANOMALY,18,Private Network 192.168.x.x,MacOS,7.280008252884188,0.6931471805599453,0.0023636380210518837,2.0879998207092285
2169,ANOMALY,22,Private Network 192.168.x.x,PC Windows,8.291797105048733,0.6931471805599453,0.0024707121774554253,1.9904084205627441
3855,ANOMALY,7,Private Network 192.168.x.x,PC Windows,7.0707241072602764,0.6931471805599453,0.002791821723803878,3.609788656234741
4216,ANOMALY,13,Private Network 192.168.x.x,Android,6.595780513961311,0.6931471805599453,0.0028060933109372854,2.9344751834869385
12050,ANOMALY,13,Private Network 192.168.x.x,PC Windows,6.71901315438526,0.6931471805599453,0.0028706600423902273,2.504011392593384
8524,ANOMALY,22,Private Network 192.168.x.x,MacOS,8.51097389160232,1.9459101490553128,0.0028858629520982504,2.1337521076202393
7434,ANOMALY,15,Private Network 192.168.x.x,PC Windows,8.480736654405622,0.6931471805599453,0.0029110261239111423,2.5393266677856445
1327,ANOMALY,10,Private Network 192.168.x.x,PC Windows,7.291656209174461,0.6931471805599453,0.0029602358117699623,3.130683660507202
11547,ANOMALY,7,Private Network 192.168.x.x,PC Windows,7.438383530044307,0.6931471805599453,0.002969065448269248,3.8076460361480713
2187,ANOMALY,13,Private Network 192.168.x.x,PC Windows,7.007600613951853,0.6931471805599453,0.003079831600189209,2.0121798515319824
1328,ANOMALY,13,Private Network 192.168.x.x,PC Windows,6.897704943128636,0.6931471805599453,0.003098459215834737,2.2667644023895264
