user_id,activity,status,device,ip_address,duration_ms,object_count,hour,day_of_week,source_type,source_id,candidate_type
61.0,Login,Berhasil,Android,Private Network 192.168.x.x,7.454141078146678,0.6931471805599453,10,2,SYNTHETIC,synth_1,ANOMALY
76.0,Login,Berhasil,iOS,Private Network 192.168.x.x,7.00397413672268,0.6931471805599453,12,2,SYNTHETIC,synth_2,ANOMALY
1.0,Login,Gagal,PC Windows,Private Network 192.168.x.x,7.257707677160043,0.6931471805599453,14,2,SYNTHETIC,synth_3,NORMAL
1.0,Laporan & Anomali,Berhasil,PC Windows,Private Network 192.168.x.x,8.474703139795285,1.6094379124341003,14,2,SYNTHETIC,synth_4,NORMAL
1.0,Kelola User,Berhasil,PC Windows,Private Network 192.168.x.x,8.195885391314796,1.3862943611198906,14,2,SYNTHETIC,synth_5,NORMAL
1.0,Laporan & Anomali,Berhasil,PC Windows,Private Network 192.168.x.x,7.516433302915632,1.6094379124341003,14,2,SYNTHETIC,synth_6,NORMAL
1.0,Logout,Berhasil,PC Windows,Private Network 192.168.x.x,5.3981627015177525,0.6931471805599453,14,2,SYNTHETIC,synth_7,NORMAL
76.0,Kelola Perkara,Berhasil,iOS,Private Network 192.168.x.x,6.920671504248683,0.6931471805599453,14,2,SYNTHETIC,synth_8,NORMAL
76.0,Akses Berkas,Berhasil,iOS,Private Network 192.168.x.x,7.284134806195205,2.0794415416798357,14,2,SYNTHETIC,synth_9,NORMAL
76.0,Logout,Berhasil,iOS,Private Network 192.168.x.x,7.116394144093465,0.6931471805599453,14,2,SYNTHETIC,synth_10,NORMAL
21.0,Login,Berhasil,PC Windows,Private Network 192.168.x.x,6.263398262591624,0.6931471805599453,15,2,SYNTHETIC,synth_11,NORMAL
21.0,Kelola Perkara,Berhasil,PC Windows,Private Network 192.168.x.x,8.109826276018477,2.302585092994046,15,2,SYNTHETIC,synth_12,NORMAL
21.0,Akses Berkas,Berhasil,PC Windows,Private Network 192.168.x.x,8.659039915644474,0.6931471805599453,15,2,SYNTHETIC,synth_13,NORMAL
21.0,Logout,Berhasil,PC Windows,Private Network 192.168.x.x,7.176254532017144,0.6931471805599453,15,2,SYNTHETIC,synth_14,NORMAL
80.0,Login,Berhasil,PC Windows,Private Network 192.168.x.x,6.021023349349527,0.6931471805599453,17,2,SYNTHETIC,synth_15,NORMAL
80.0,Kelola Perkara,Berhasil,PC Windows,Private Network 192.168.x.x,8.263074835802596,1.791759469228055,17,2,SYNTHETIC,synth_16,NORMAL
80.0,Akses Berkas,Berhasil,PC Windows,Public IP Address,6.744059186311348,2.1972245773362196,17,2,SYNTHETIC,synth_17,ANOMALY
80.0,Logout,Berhasil,PC Windows,Private Network 192.168.x.x,5.700443573390687,0.6931471805599453,17,2,SYNTHETIC,synth_18,NORMAL
26.0,Login,Gagal,iOS,Private Network 192.168.x.x,6.638567789166521,0.6931471805599453,17,2,SYNTHETIC,synth_19,NORMAL
26.0,Kelola Perkara,Berhasil,iOS,Private Network 192.168.x.x,6.3578422665081,0.6931471805599453,17,2,SYNTHETIC,synth_20,NORMAL
26.0,Akses Berkas,Berhasil,iOS,Private Network 192.168.x.x,8.106212902619962,1.0986122886681098,17,2,SYNTHETIC,synth_21,NORMAL
26.0,Logout,Berhasil,iOS,Private Network 192.168.x.x,6.970730078143525,4.61512051684126,17,2,SYNTHETIC,synth_22,ANOMALY
